서울,양천구,사망자수,11,0,1,1,0,1,1,1,0,1,1,3,1
서울,양천구,부상자수,13756,1226,1123,1079,1003,1183,1110,1218,1168,1097,1297,1181,1071
서울,중랑구,발생건수,6152,480,483,467,457,553,502,539,494,537,558,529,553
서울,중랑구,사망자수,10,1,1,3,0,1,0,0,2,0,0,2,0
서울,중랑구,부상자수,8712,698,658,643,636,766,760,748,716,810,782,729,766
서울,노원구,발생건수,7886,753,591,575,619,664,603,639,628,658,710,708,738
서울,노원구,사망자수,14,2,1,1,1,0,4,2,1,0,1,1,0
서울,노원구,부상자수,11714,1139,887,892,880,1010,876,973,946,988,1045,1000,1078
서울,광진구,발생건수,6939,595,546,492,563,605,535,611,612,566,629,606,579
서울,광진구,사망자수,10,1,0,1,0,0,0,3,1,0,0,1,3
서울,광진구,부상자수,9795,838,757,688,786,830,778,856,884,800,919,854,805
서울,강북구,발생건수,4373,386,372,355,334,390,326,362,386,344,355,375,388
서울,강북구,사망자수,13,0,2,1,1,0,1,3,1,0,2,1,1
서울,강북구,부상자수,6046,539,491,486,456,545,450,519,551,474,476,508,551
서울,금천구,발생건수,6072,491,498,508,493,504,449,527,498,504,520,547,533
서울,금천구,사망자수,6,1,0,0,1,0,0,2,0,0,0,2,0
서울,금천구,부상자수,8869,728,723,738,689,721,674,736,755,762,761,867,715
부산,합계,발생건수,71028,5891,5337,5857,5679,5894,5654,6186,5882,5987,6039,6332,6290
부산,합계,사망자수,123,10,9,15,12,11,6,14,9,13,13,4,7
부산,합계,부상자수,107287,8819,8167,8686,8528,9110,8399,9542,9089,9289,9006,9340,9312
부산,중구,발생건수,1766,161,114,129,147,169,155,131,154,165,151,132,158
부산,중구,사망자수,3,0,0,0,1,0,0,0,0,1,1,0,0
부산,중구,부상자수,2558,232,157,183,206,225,198,223,271,231,219,195,218
부산,서구,발생건수,1995,169,157,181,135,164,179,166,154,167,170,183,170
부산,서구,사망자수,6,1,0,1,0,1,0,0,0,1,2,0,0
부산,서구,부상자수,2939,265,238,292,185,252,271,229,223,220,266,250,248
부산,동구,발생건수,2505,224,177,201,182,216,224,200,212,232,241,207,189
부산,동구,사망자수,3,0,0,0,0,1,0,1,1,0,0,0,0
부산,동구,부상자수,3706,308,258,275,293,343,320,281,333,352,351,330,262
부산,영도구,발생건수,1404,98,106,119,130,107,132,114,134,106,109,135,114
부산,영도구,사망자수,5,0,1,1,1,0,0,0,0,1,1,0,0
부산,영도구,부상자수,2083,141,144,158,214,168,202,179,197,171,142,193,174
부산,진구,발생건수,8362,748,653,697,633,708,672,716,655,742,705,691,742
부산,진구,사망자수,18,2,2,1,0,4,2,1,0,2,2,0,2
부산,진구,부상자수,12370,1097,981,1031,943,1057,972,1098,983,1145,1018,1010,1035
부산,동래구,발생건수,5150,436,403,465,417,430,420,487,436,403,405,419,429
부산,동래구,사망자수,6,0,0,1,0,0,1,2,1,0,1,0,0
부산,동래구,부상자수,7606,647,596,642,615,687,637,719,680,603,565,599,616
부산,남구,발생건수,4608,369,350,400,407,372,357,400,375,351,387,417,423
부산,남구,사망자수,9,0,0,2,3,0,1,0,1,0,2,0,0
부산,남구,부상자수,6607,515,520,543,581,508,495,595,553,536,554,596,611
부산,북구,발생건수,4229,354,346,317,367,351,327,369,324,329,360,386,399
부산,북구,사망자수,6,0,2,0,0,1,0,0,3,0,0,0,0
부산,북구,부상자수,6307,511,521,482,544,516,497,575,491,512,500,569,589
부산,해운대구,발생건수,7471,592,548,584,628,617,595,705,652,626,643,634,647
부산,해운대구,사망자수,12,1,1,1,3,1,1,1,1,0,1,1,0
부산,해운대구,부상자수,11996,966,883,916,999,1063,927,1117,1059,979,1007,1011,1069
부산,사하구,발생건수,5971,483,422,487,459,493,493,501,492,529,516,572,524
부산,사하구,사망자수,3,1,0,0,1,0,0,0,0,0,0,0,1
부산,사하구,부상자수,8808,683,600,729,663,718,739,753,743,815,779,802,784
부산,금정구,발생건수,4551,350,354,338,356,397,337,397,382,384,375,439,442
부산,금정구,사망자수,7,0,1,3,1,0,0,0,0,1,1,0,0
부산,금정구,부상자수,6960,535,585,511,512,625,493,616,607,617,556,631,672
부산,강서구,발생건수,5271,457,370,456,409,421,381,429,411,448,495,535,459
부산,강서구,사망자수,15,0,1,4,0,2,0,3,1,3,0,1,0
부산,강서구,부상자수,8241,698,597,723,616,661,597,668,623,760,789,810,699
부산,연제구,발생건수,3789,309,301,330,300,319,282,332,312,302,309,364,329
부산,연제구,사망자수,5,0,0,1,0,0,1,1,0,0,0,0,2
부산,연제구,부상자수,5445,479,445,454,418,464,375,500,458,434,437,522,459
부산,수영구,발생건수,4264,322,322,346,356,347,330,421,369,402,346,337,366
부산,수영구,사망자수,2,1,0,0,0,0,0,0,0,0,0,0,1
