"특성별(1)",2015,2015,2016,2016,2017,2017,2018,2018
"특성별(1)",응답자수 (명),전통시장 (%),응답자수 (명),전통시장 (%),응답자수 (명),전통시장 (%),응답자수 (명),전통시장 (%)
"전체",6431,8.3,3746,26.9,3640,35.0,3916,24.9
