축제 번호,축제명,행사시작일,행사종료일,행사기간,행사위치,행사장소
43,중문골프장 달빛걷기,2016-05-13,2016-11-11,183,제주특별자치도 서귀포시 중문관광로72번길 60 (색달동),중문골프장
44,방선문축제 2016,2016-05-14,2016-05-15,2,제주특별자치도 제주시 오라2동 3819-11,방선문계곡 일대
45,설문대 할망제 2016,2016-05-15,2016-05-15,1,제주특별자치도 제주시 조천읍 남조로 2023 (조천읍),제주돌문화공원
46,보목 자리돔축제 2016,2016-05-27,2016-05-29,3,제주특별자치도 서귀포시 보목동 566,제주 서귀포시 보목항 포구
47,제주국제관광마라톤축제 2016,2016-05-29,2016-05-29,1,제주특별자치도 제주시 구좌읍 김녕로 209 (구좌읍),구좌종합운동장
48,한림공원 수국축제 2016,2016-06-01,2016-06-30,30,제주특별자치도 제주시 한림읍 한림로 300 (한림읍),한림공원 제주석분재원내 수국동산
49,용연선상음악회 2016,2016-06-03,2016-06-03,1,제주특별자치도 제주시 용담2동 용연,제주시 용연 일원
50,제주 사려니숲 에코힐링 2016,2016-06-04,2016-06-18,15,제주특별자치도 제주시 조천읍 교래리 산 137-1,사려니숲길
51,제주 해비치 아트 페스티벌 2016,2016-06-13,2016-06-16,4,제주특별자치도 서귀포시 표선면 민속해안로 537 (표선면),해비치 호텔 & 리조트 제주_ 제주일대
52,제주 한림공원 연꽃축제 2016,2016-07-01,2016-09-30,92,제주특별자치도 제주시 한림읍 한림로 300 (한림읍),제주 한림공원
53,거문오름 국제트레킹대회 2016,2016-07-09,2016-07-18,10,제주특별자치도 제주시 조천읍 선교로 569-36,거문오름 일대
54,제주 한여름밤의 예술축제 2016,2016-07-23,2016-08-03,12,제주특별자치도 제주시 중앙로 2 (삼도이동),제주시 해변공연장
55,한여름밤 솜반천 청소년 영상문화축제,2016-07-23,2016-08-07,16,제주특별자치도 서귀포시 서홍동,솜반천
56,삼양검은모래 해변축제 2016,2016-07-29,2016-07-30,2,제주특별자치도 제주시 삼양2동 1568,제주 제주시 삼양검은모래해변
57,제주 이호테우축제 2016,2016-07-29,2016-07-31,3,제주특별자치도 제주시 도리로 20 (이호이동),이호테우해변 일원(구. 이호해수욕장)
58,표선해비치해변 하얀모래축제 2016,2016-07-30,2016-07-31,2,제주특별자치도 서귀포시 표선면 표선리 879,제주 서귀포시 표선해비치해변 일원
59,금능 원담축제 2016,2016-07-30,2016-07-31,2,제주특별자치도 제주시 한림읍 금능리,금능으뜸원 해변 일원
60,서귀포 야해페스티벌 2016,2016-08-03,2016-08-09,7,제주특별자치도 서귀포시 표선면 민속해안로 592,서귀포시 표선해비치해변 특설무대
61,"예래생태마을체험축제 2016 (구,논짓물축제)",2016-08-06,2016-08-07,2,제주특별자치도 서귀포시 예래로 213 (하예동),논짓물 및 예래생태체험관 일원(주행사장: 논짓물공연장)
62,제주국제관악제 2016,2016-08-08,2016-08-16,9,제주특별자치도 제주시 신산로 82 (일도이동),제주문예회관_ 제주해변공연장_ 천지연야외공연장_ 제주도 일원
63,도두 오래물축제 2016,2016-08-12,2016-08-14,3,제주특별자치도 제주시 도두항길 26 (도두일동),오래물광장 및 도두어항 일원
64,쇠소깍 축제 2016,2016-08-13,2016-08-14,2,제주특별자치도 서귀포시 효돈로 170 (하효동),효돈동 쇠소깍 및 하효항 일원
65,제주 레저스포츠대축제 2016,2016-08-26,2016-10-03,39,제주특별자치도 제주시 중앙로 2 (삼도이동),제주해변공연장_ 이호테우해변_ 해안도로_ 서부두방파제_ 삼양검은모래해변 등
66,제주 뮤직 페스티벌 2016,2016-08-27,2016-08-28,2,제주특별자치도 제주시 조천읍 남조로 2023 (조천읍),제주시 조천읍 남조로 2023_ 제주돌문화공원_ 돌박물관 야외무대 ? 하늘연못
