축제 번호,축제명,실적기준, 가맹점수 ,카드이용자수,카드이용건수,카드이용금액
24,서귀포 겨울바다펭귄수영대회 2016,행사기간 일평균,69,1109,1524,151528254
24,서귀포 겨울바다펭귄수영대회 2016,행사시작 1주일전 일평균,12.3,820,1314,178584510
24,서귀포 겨울바다펭귄수영대회 2016,전년 동기 일평균,12.1,1130,2534,418407378
25,제주 뮤직아일페스티벌 2016,행사기간 일평균,61,1358,2988,263443837
25,제주 뮤직아일페스티벌 2016,행사시작 1주일전 일평균,75.4,1763,3459,224022638
25,제주 뮤직아일페스티벌 2016,전년 동기 일평균,58.8,1896,4309,539907925
26,탐라국입춘굿놀이 2016,행사기간 일평균,829.5,5782,8315,790062310
26,탐라국입춘굿놀이 2016,행사시작 1주일전 일평균,307.4,4207,7569,608098713
26,탐라국입춘굿놀이 2016,전년 동기 일평균,304.4,3715,6547,513782912
27,국립제주박물관 설날 한마당 2016,행사기간 일평균,36.8,838,1072,49052168
27,국립제주박물관 설날 한마당 2016,행사시작 1주일전 일평균,40.3,921,1321,68960395
27,국립제주박물관 설날 한마당 2016,전년 동기 일평균,35.9,752,1010,63462476
28,제주민속촌 설날맞이 민속행사 2016,행사기간 일평균,36.6,452,772,32104420
28,제주민속촌 설날맞이 민속행사 2016,행사시작 1주일전 일평균,31.1,352,683,30471100
28,제주민속촌 설날맞이 민속행사 2016,전년 동기 일평균,29.4,288,548,23505476
29,제주 노리매 매화축제 2016,행사기간 일평균,2.8,459,765,23299375
29,제주 노리매 매화축제 2016,행사시작 1주일전 일평균,11.4,450,681,26081639
29,제주 노리매 매화축제 2016,전년 동기 일평균,2.3,351,529,19652877
30,제주목관아 설맞이 민속놀이마당 2016,행사기간 일평균,410.3,3704,5560,314118421
30,제주목관아 설맞이 민속놀이마당 2016,행사시작 1주일전 일평균,312.4,4551,8331,688978193
30,제주목관아 설맞이 민속놀이마당 2016,전년 동기 일평균,310.6,3945,7002,601598100
31,한림공원 매화축제 2016,행사기간 일평균,6.6,323,559,19741054
31,한림공원 매화축제 2016,행사시작 1주일전 일평균,20.6,353,536,19989963
31,한림공원 매화축제 2016,전년 동기 일평균,18.9,298,439,20835845
32,휴애리 매화축제 2016,행사기간 일평균,1.8,104,127,9817297
32,휴애리 매화축제 2016,행사시작 1주일전 일평균,2.7,44,50,6648649
32,휴애리 매화축제 2016,전년 동기 일평균,1.9,64,75,5866674
33,제주들불축제 2016,행사기간 일평균,2.8,86,102,16614240
33,제주들불축제 2016,행사시작 1주일전 일평균,2,103,138,77089651
33,제주들불축제 2016,전년 동기 일평균,1.7,75,95,92764823
34,국제전기자동차엑스포 2016,행사기간 일평균,75,1916,3772,272611957
34,국제전기자동차엑스포 2016,행사시작 1주일전 일평균,74.1,1660,3269,243228154
34,국제전기자동차엑스포 2016,전년 동기 일평균,72.9,1979,4361,519991846
35,서귀포 유채꽃 국제걷기대회 2016,행사기간 일평균,20,806,1103,60863018
35,서귀포 유채꽃 국제걷기대회 2016,행사시작 1주일전 일평균,6.4,469,675,45785216
35,서귀포 유채꽃 국제걷기대회 2016,전년 동기 일평균,6.3,381,521,41759413
36,한림공원 튤립축제 2016,행사기간 일평균,8.4,451,775,27272285
36,한림공원 튤립축제 2016,행사시작 1주일전 일평균,23,425,647,24150366
36,한림공원 튤립축제 2016,전년 동기 일평균,7.3,368,608,26404107
37,서사라문화 거리축제,행사기간 일평균,213.4,3446,6945,330139100
37,서사라문화 거리축제,행사시작 1주일전 일평균,288.9,3814,7080,383256474
37,서사라문화 거리축제,전년 동기 일평균,221.5,3079,6245,343862198
38,제주 왕벚꽃축제 2016,행사기간 일평균,213.4,3446,6945,330139100
38,제주 왕벚꽃축제 2016,행사시작 1주일전 일평균,288.9,3814,7080,383256474
38,제주 왕벚꽃축제 2016,전년 동기 일평균,221.5,3079,6245,343862198
39,제주 유채꽃축제 2016,행사기간 일평균,1,2,2,48000
39,제주 유채꽃축제 2016,행사시작 1주일전 일평균,1,4,4,685000
39,제주 유채꽃축제 2016,전년 동기 일평균,0.5,7,10,443975
40,가파도청보리축제 2016,행사기간 일평균,0.4,22,25,959869
40,가파도청보리축제 2016,행사시작 1주일전 일평균,0.9,9,11,410014
40,가파도청보리축제 2016,전년 동기 일평균,0.2,19,21,787023
41,한라산 청정 고사리 축제 2016,행사기간 일평균,3.5,17,17,1105470
41,한라산 청정 고사리 축제 2016,행사시작 1주일전 일평균,1.6,10,11,1447327
41,한라산 청정 고사리 축제 2016,전년 동기 일평균,1.6,9,10,947143
42,한림공원 야생화축제 2016,행사기간 일평균,7.3,445,803,28631751
42,한림공원 야생화축제 2016,행사시작 1주일전 일평균,24.4,482,758,28987811
42,한림공원 야생화축제 2016,전년 동기 일평균,6.6,432,767,28672492
43,중문골프장 달빛걷기,행사기간 일평균,6.1,1634,4696,419082498
43,중문골프장 달빛걷기,행사시작 1주일전 일평균,78.6,2112,4196,298396918
43,중문골프장 달빛걷기,전년 동기 일평균,3.9,1453,4319,435301206
44,방선문축제 2016,행사기간 일평균,300,4476,5885,391785691
44,방선문축제 2016,행사시작 1주일전 일평균,132,3538,6065,428134091
44,방선문축제 2016,전년 동기 일평균,127.6,3390,5405,568887904
45,설문대 할망제 2016,행사기간 일평균,16,111,117,5356500
45,설문대 할망제 2016,행사시작 1주일전 일평균,3,83,93,5393486
45,설문대 할망제 2016,전년 동기 일평균,2.7,67,75,4768514
46,보목 자리돔축제 2016,행사기간 일평균,47.7,685,885,34816775
46,보목 자리돔축제 2016,행사시작 1주일전 일평균,23.9,628,920,35842643
46,보목 자리돔축제 2016,전년 동기 일평균,26,606,875,46819552
47,제주국제관광마라톤축제 2016,행사기간 일평균,33,180,211,4718780
47,제주국제관광마라톤축제 2016,행사시작 1주일전 일평균,10.9,166,247,7770256
47,제주국제관광마라톤축제 2016,전년 동기 일평균,9.1,134,197,9377591
48,한림공원 수국축제 2016,행사기간 일평균,7.7,499,943,31622773
48,한림공원 수국축제 2016,행사시작 1주일전 일평균,26.1,502,810,28086129
48,한림공원 수국축제 2016,전년 동기 일평균,6.8,411,772,23726049
49,용연선상음악회 2016,행사기간 일평균,660,4601,5634,350487035
49,용연선상음악회 2016,행사시작 1주일전 일평균,165.9,3009,5125,294367752
49,용연선상음악회 2016,전년 동기 일평균,167,2748,4609,275944603
50,제주 사려니숲 에코힐링 2016,행사기간 일평균,0.1,4,5,321929
50,제주 사려니숲 에코힐링 2016,행사시작 1주일전 일평균,0.3,3,4,195500
50,제주 사려니숲 에코힐링 2016,전년 동기 일평균,0.1,5,5,323640
51,제주 해비치 아트 페스티벌 2016,행사기간 일평균,17.5,299,476,18296800
51,제주 해비치 아트 페스티벌 2016,행사시작 1주일전 일평균,10.4,240,373,18062724
51,제주 해비치 아트 페스티벌 2016,전년 동기 일평균,10.1,177,258,11673847
52,제주 한림공원 연꽃축제 2016,행사기간 일평균,3.9,616,1229,38733915
52,제주 한림공원 연꽃축제 2016,행사시작 1주일전 일평균,27,592,997,28917609
52,제주 한림공원 연꽃축제 2016,전년 동기 일평균,2.6,527,1080,31871510
53,거문오름 국제트레킹대회 2016,행사기간 일평균,3.1,88,112,2663218
53,거문오름 국제트레킹대회 2016,행사시작 1주일전 일평균,4.6,75,96,2767351
53,거문오름 국제트레킹대회 2016,전년 동기 일평균,3.3,59,75,2125150
54,제주 한여름밤의 예술축제 2016,행사기간 일평균,138.9,3705,7333,432159954
54,제주 한여름밤의 예술축제 2016,행사시작 1주일전 일평균,220,4171,7377,447118518
54,제주 한여름밤의 예술축제 2016,전년 동기 일평균,163.1,3463,6949,411550501
55,한여름밤 솜반천 청소년 영상문화축제,행사기간 일평균,61.8,1531,3942,157042364
55,한여름밤 솜반천 청소년 영상문화축제,행사시작 1주일전 일평균,127.3,1898,3825,152169925
55,한여름밤 솜반천 청소년 영상문화축제,전년 동기 일평균,61.8,1379,3387,135122594
56,삼양검은모래 해변축제 2016,행사기간 일평균,78,1163,1661,64620540
56,삼양검은모래 해변축제 2016,행사시작 1주일전 일평균,30.3,749,1430,43644052
56,삼양검은모래 해변축제 2016,전년 동기 일평균,28,602,1109,34956610
