상권명,기준년월,카드이용자수,카드이용건수,카드이용금액,카드이용자수: 남,카드이용자수: 여,카드이용자수: 20대 이하,카드이용자수: 30대,카드이용자수: 40대,카드이용자수: 50대 이상,카드이용자수: ~1km,카드이용자수: 1~3km,카드이용자수: 3~5km,카드이용자수: 5km~,카드이용금액: 주말,카드이용금액: 주중,카드이용금액: 8~18시,카드이용금액: 18시~8시,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
