"특성별(1)",2015,2015,2016,2016,2017,2017,2018,2018
"특성별(1)",응답자수 (명),전통시장 (%),응답자수 (명),전통시장 (%),응답자수 (명),전통시장 (%),응답자수 (명),전통시장 (%)
"전체",4731,24.6,5036,48.5,5406,48.4,6181,60.2
