"지역별(1)",2017,2017,2017,2017,2017
"지역별(1)",신용카드단말기 (%),POS 기기 (%),점포홈페이지 (%),인터넷쇼핑몰 (%),온누리상품권 (%)
"제주",45.2,29.7,0.3,-,60.1
