시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자
표선오일시장,5일장,제주특별자치도 서귀포시 표선면 표선동서로 203-1,제주특별자치도 서귀포시 표선면 표선리 1001-1,2일. 7일,33.32271567,126.8303841,60,의류. 농수축산물. 지역특산물 등,없음,없음,Y,Y,1985,064-760-4475,2019-06-30
성산오일시장,5일장,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 6,제주특별자치도 서귀포시 성산읍 성산리 181-6,1일. 6일,33.46364638,126.9329786,25,의류. 농수축산물. 지역특산품 등,제주사랑상품권,없음,Y,N,1964,064-760-4281,2019-06-30
고성오일시장,5일장,제주특별자치도 서귀포시 성산읍 고성오조로 93,제주특별자치도 서귀포시 성산읍 고성리 1180-34,4일. 9일,33.4517759,126.912796,67,의류. 농수축산물. 지역특산물 등,제주사랑상품권,없음,Y,Y,1984,064-760-4281,2019-06-30
대정오일시장,5일장,제주특별자치도 서귀포시 대정읍 신영로36번길 65,제주특별자치도 서귀포시 대정읍 하모리 1089-15,1일. 6일,33.220516,126.2483125,197,의류. 농수축산물. 지역특산품 등,온누리상품권+제주사랑상품권,없음,Y,Y,1983,064-760-4083,2019-06-30
중문오일시장,5일장,제주특별자치도 서귀포시 천제연로188번길 12,제주특별자치도 서귀포시 중문동 2123-1,3일. 8일,33.2508555,126.4242065,66,의류. 농수산물. 잡화  등,온누리상품권+제주사랑상품권,없음,Y,Y,1965,064-760-2631,2019-06-30
서귀포향토오일시장,5일장,제주특별자치도 서귀포시 토평서로11번길 150,제주특별자치도 서귀포시 동홍동 774-3,4일. 9일,33.2664252,126.5734808,581,의류. 농수축산물. 잡화. 지역특산물 등,온누리상품권+제주사랑상품권,http://sgp5.market.jeju.kr/,Y,Y,1995,064-763-0965,2019-06-30
모슬포중앙시장,상설장,제주특별자치도 서귀포시 대정읍 상모로 325,제주특별자치도 서귀포시 대정읍 하모리 822-1,매일,33.2220889,126.2547643,54,농수축산물. 잡화. 지역특산물 등,온누리상품권+제주사랑상품권,없음,Y,Y,1978,064-760-4083,2019-06-30
서귀포매일올레시장,상설장,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,매일,33.2501708,126.5636786,260,의류. 농수축산물. 잡화. 지역특산물 등,온누리상품권+제주사랑상품권,http://sgpmarket.alltheway.kr/,Y,Y,1965,064-762-1949,2019-06-30
